Ultimaker Version,Layer,Fan on/off,Fan speed (min),Fan speed (max),Fan speed (avg),Temperature (min),Temperature (max),Temperature (avg),Feedrate (min),Feedrate (max),Feedrate (avg),Layer height,modified
2,57,1,255.0,255.0,255.0,0,0,0,600.0,7200.0,4293.9208000000035,9,0
2,58,1,255.0,255.0,255.0,0,0,0,600.0,7200.0,4343.742434210525,9.15,0
2,59,1,255.0,255.0,255.0,0,0,0,600.0,7200.0,4634.6780769230745,9.3,0
2,60,1,255.0,255.0,255.0,0,0,0,600.0,7200.0,4274.266666666669,9.45,0
2,61,1,255.0,255.0,255.0,0,0,0,600.0,7200.0,4430.500515463918,9.6,0
2,62,1,255.0,255.0,255.0,0,0,0,600.0,7200.0,4801.311740890687,9.75,0
2,63,1,255.0,255.0,255.0,0,0,0,600.0,7200.0,4793.569918699185,9.9,0
2,64,1,255.0,255.0,255.0,0,0,0,600.0,7200.0,4809.884647302904,10.05,0
2,65,1,255.0,255.0,255.0,0,0,0,600.0,7200.0,4731.052340425533,10.2,0
2,66,1,255.0,255.0,255.0,0,0,0,600.0,7200.0,5093.848571428572,10.35,0
2,67,1,255.0,255.0,255.0,0,0,0,600.0,7200.0,5362.204724409449,10.5,0
2,68,1,255.0,255.0,255.0,0,0,0,600.0,7200.0,5377.674418604651,10.65,0
2,69,1,255.0,255.0,255.0,0,0,0,600.0,7200.0,5377.674418604651,10.8,0
2,70,1,255.0,255.0,255.0,0,0,0,600.0,7200.0,5378.082191780822,10.95,0
2,71,1,255.0,255.0,255.0,0,0,0,600.0,7200.0,5377.674418604651,11.1,0
2,72,1,255.0,255.0,255.0,0,0,0,600.0,7200.0,5377.4647887323945,11.25,0
2,73,1,255.0,255.0,255.0,0,0,0,600.0,7200.0,5377.674418604651,11.4,0
2,74,1,255.0,255.0,255.0,0,0,0,600.0,7200.0,5377.674418604651,11.55,0
2,75,1,255.0,255.0,255.0,0,0,0,600.0,7200.0,5270.9155660377355,11.7,0
2,76,1,255.0,255.0,255.0,0,0,0,600.0,7200.0,5230.92602739726,11.85,0
2,77,1,255.0,255.0,255.0,0,0,0,600.0,7200.0,5231.602764976959,12,0
2,78,1,255.0,255.0,255.0,0,0,0,600.0,7200.0,5233.96129032258,12.15,0
2,79,1,255.0,255.0,255.0,0,0,0,600.0,7200.0,5260.474883720931,12.3,0
2,80,1,255.0,255.0,255.0,0,0,0,600.0,7200.0,5235.899539170507,12.45,0
2,81,1,255.0,255.0,255.0,0,0,0,600.0,7200.0,5260.681690140845,12.6,0
2,82,1,255.0,255.0,255.0,0,0,0,600.0,7200.0,5238.422119815667,12.75,0
2,83,1,255.0,255.0,255.0,0,0,0,600.0,7200.0,5242.081735159817,12.9,0
2,84,1,255.0,255.0,255.0,0,0,0,600.0,7200.0,5244.878280542986,13.05,0
2,85,1,255.0,255.0,255.0,0,0,0,600.0,7200.0,5265.365258215964,13.2,0
2,86,1,255.0,255.0,255.0,0,0,0,600.0,7200.0,5191.812883435584,13.35,0
2,87,1,255.0,255.0,255.0,0,0,0,600.0,7200.0,5176.826490066225,13.5,0
2,88,1,255.0,255.0,255.0,0,0,0,600.0,7200.0,5181.884967320261,13.65,0
2,89,1,255.0,255.0,255.0,0,0,0,600.0,7200.0,5244.851396648044,13.8,0
2,90,1,255.0,255.0,255.0,0,0,0,600.0,7200.0,5271.4018604651155,13.95,0
2,91,1,255.0,255.0,255.0,0,0,0,600.0,7200.0,5251.119634703196,14.1,0
2,92,1,255.0,255.0,255.0,0,0,0,600.0,7200.0,5253.466063348416,14.25,0
2,93,1,255.0,255.0,255.0,0,0,0,600.0,7200.0,5213.910404624277,14.4,0
2,94,1,255.0,255.0,255.0,0,0,0,600.0,7200.0,5157.007633587787,14.55,0
2,95,1,255.0,255.0,255.0,0,0,0,600.0,7200.0,5195.8557251908405,14.7,0
2,96,1,255.0,255.0,255.0,0,0,0,600.0,7200.0,5249.7604519774,14.85,0
2,97,1,255.0,255.0,255.0,0,0,0,600.0,7200.0,5257.389041095889,15,0
2,98,1,255.0,255.0,255.0,0,0,0,600.0,7200.0,5278.8866359447,15.15,0
2,99,1,255.0,255.0,255.0,0,0,0,600.0,7200.0,5259.402739726028,15.3,0
2,100,1,255.0,255.0,255.0,0,0,0,600.0,7200.0,5260.634703196347,15.45,0
2,101,1,255.0,255.0,255.0,0,0,0,600.0,7200.0,5261.38904109589,15.6,0
2,102,1,255.0,255.0,255.0,0,0,0,600.0,7200.0,5262.258447488585,15.75,0
2,103,1,255.0,255.0,255.0,0,0,0,600.0,7200.0,5281.091162790697,15.9,0
2,104,1,255.0,255.0,255.0,0,0,0,600.0,7200.0,5262.471889400921,16.05,0
2,105,1,255.0,255.0,255.0,0,0,0,600.0,7200.0,5260.811267605635,16.2,0
2,106,1,255.0,255.0,255.0,0,0,0,600.0,7200.0,5261.430046948359,16.35,0
2,107,1,255.0,255.0,255.0,0,0,0,600.0,7200.0,5280.162679425836,16.5,0
2,108,1,255.0,255.0,255.0,0,0,0,600.0,7200.0,5258.944927536232,16.65,0
2,109,1,255.0,255.0,255.0,0,0,0,600.0,7200.0,5261.029665071769,16.8,0
2,110,1,255.0,255.0,255.0,0,0,0,600.0,7200.0,5262.995260663505,16.95,0
2,111,1,255.0,255.0,255.0,0,0,0,600.0,7200.0,5262.466507177032,17.1,0
2,112,1,255.0,255.0,255.0,0,0,0,600.0,7200.0,5263.346411483253,17.25,0
2,113,1,255.0,255.0,255.0,0,0,0,600.0,7200.0,5285.077934272301,17.4,0
